case_id,state,district_type,project_type,case_opened_date,snapshot_date,land_area_hectares,land_type,affected_owner_count,is_multi_village,has_title_dispute,has_court_case,has_objection,compensation_estimate_inr_lakh,compensation_funding_available,notification_stage,days_since_case_opened,land_notified_percent,award_completed_percent,compensation_disbursed_percent,possession_completed_percent,delay_label,delay_risk,delay_probability,actual_delay_days
SYN-LA-00011,Chhattisgarh,Semi-urban,Urban Infrastructure,2024-01-26,2025-08-04,2.79,Agricultural,7,0,0,0,0,177.76,1,3G award,556,100,100,70.9,60.4,0,Low,0.179,0
SYN-LA-00012,Uttar Pradesh,Semi-urban,Railway,2018-06-05,2020-01-02,1.46,Agricultural,13,0,0,0,0,75.68,1,3G award,576,100,93.8,81.6,69.7,0,Low,0.17,0
SYN-LA-00013,Maharashtra,Semi-urban,National Highway,2024-03-28,2025-09-02,12.79,Agricultural,9,1,0,0,0,1188.94,1,3G award,523,100,89.5,76.1,68.8,1,Medium,0.517,222
SYN-LA-00014,Punjab,Urban,Railway,2020-07-30,2021-07-29,0.9,Forest,13,0,0,0,0,42.37,1,3D issued,364,100,69.0,64.3,55.5,1,Low,0.212,133
SYN-LA-00015,Karnataka,Urban,Railway,2019-05-22,2019-09-17,2.74,Agricultural,10,0,0,0,1,282.27,1,Pre-notification,118,5.6,0,0,0,1,Medium,0.373,168
SYN-LA-00016,Punjab,Urban,Urban Infrastructure,2022-07-15,2023-05-11,7.01,Residential,22,1,0,0,0,382.72,1,3G award,300,86.3,77.5,55.3,47.0,0,Medium,0.466,0
SYN-LA-00017,Punjab,Rural,Urban Infrastructure,2018-05-09,2019-06-17,8.07,Agricultural,11,1,0,0,0,540.22,1,3G award,404,100,94.9,62.8,51.6,0,Medium,0.372,0
SYN-LA-00018,Haryana,Rural,Railway,2021-08-07,2023-05-06,13.3,Agricultural,5,1,0,0,0,956.32,1,3G award,637,100,100,90.8,88.1,0,Medium,0.47,0
SYN-LA-00019,West Bengal,Semi-urban,Railway,2019-10-18,2020-09-21,13.1,Agricultural,7,1,1,0,0,391.33,1,3A issued,339,16.0,16.0,16.0,6.0,1,High,0.824,257
SYN-LA-00020,Chhattisgarh,Rural,Railway,2018-12-16,2019-02-11,17.68,Agricultural,4,1,0,0,0,1296.03,1,3A issued,57,40.1,29.1,1.9,0,1,High,0.707,293
SYN-LA-00021,Maharashtra,Rural,Railway,2021-07-02,2023-01-22,11.71,Agricultural,13,1,0,0,0,731.64,1,3G award,569,100,92.7,68.5,45.5,1,Medium,0.611,281
SYN-LA-00022,Haryana,Rural,Urban Infrastructure,2018-07-04,2018-11-04,3.38,Agricultural,10,0,0,0,0,230.82,1,Pre-notification,123,1.6,0,0,0,0,Low,0.231,0
SYN-LA-00023,Chhattisgarh,Rural,National Highway,2023-06-11,2025-01-14,16.62,Agricultural,10,1,0,0,0,1103.29,1,3G award,583,100,100,85.8,83.1,1,Medium,0.638,314
SYN-LA-00024,Odisha,Urban,State Highway,2021-07-07,2022-10-29,1.9,Agricultural,8,0,0,0,1,147.85,1,3D issued,479,75.8,63.4,44.2,25.3,0,Medium,0.389,0
SYN-LA-00025,Rajasthan,Urban,National Highway,2020-11-01,2021-02-07,0.66,Agricultural,7,0,0,0,0,12.66,0,Pre-notification,98,9.8,0,0,0,0,Low,0.305,0
SYN-LA-00026,Karnataka,Semi-urban,State Highway,2023-01-03,2024-08-20,7.7,Agricultural,40,1,0,0,1,296.61,1,3D issued,595,76.2,65.3,46.4,41.2,1,High,0.811,307
SYN-LA-00027,Uttar Pradesh,Semi-urban,State Highway,2019-05-03,2020-01-16,2.87,Agricultural,5,1,0,0,0,87.69,1,3D issued,258,69.3,52.3,39.0,31.7,0,Low,0.218,0
SYN-LA-00028,Odisha,Semi-urban,National Highway,2018-01-11,2018-11-07,0.19,Agricultural,14,0,0,0,0,16.62,1,3A issued,300,35.9,25.4,0,0,0,Low,0.233,0
SYN-LA-00029,Madhya Pradesh,Urban,Urban Infrastructure,2020-05-12,2020-11-01,0.72,Commercial,8,0,0,0,0,100.86,1,3A issued,173,51.7,21.6,16.5,0,1,Low,0.211,51
SYN-LA-00030,Punjab,Urban,Urban Infrastructure,2018-12-11,2020-07-02,1.63,Agricultural,18,1,0,0,1,137.46,1,3G award,569,100,87.9,56.1,40.9,0,Medium,0.505,0
SYN-LA-00031,Odisha,Semi-urban,State Highway,2024-09-14,2025-03-01,1.75,Agricultural,6,1,0,0,0,183.16,1,3A issued,168,45.1,37.4,12.0,0,0,Low,0.245,0
SYN-LA-00032,Madhya Pradesh,Urban,Industrial Corridor,2019-10-23,2020-07-24,2.17,Residential,28,1,0,0,0,192.13,1,3D issued,275,70.3,51.5,41.4,16.3,0,Medium,0.46,0
SYN-LA-00033,Madhya Pradesh,Urban,State Highway,2020-05-15,2021-04-24,3.62,Residential,22,1,0,0,0,380.03,1,3D issued,344,85.9,71.0,53.1,33.4,0,Medium,0.424,0
SYN-LA-00034,Karnataka,Urban,Urban Infrastructure,2021-10-20,2022-04-19,8.59,Agricultural,11,1,0,0,0,673.38,1,3A issued,181,16.9,6.9,3.4,0,0,Medium,0.55,0
SYN-LA-00035,Maharashtra,Semi-urban,National Highway,2022-01-15,2023-06-27,0.55,Agricultural,3,0,0,0,0,33.2,1,3G award,528,100,100,79.9,78.2,0,Low,0.09,0
SYN-LA-00036,Rajasthan,Urban,National Highway,2023-10-01,2024-11-29,1.79,Agricultural,93,1,0,0,0,131.9,1,3D issued,425,76.4,48.1,42.6,26.9,1,High,0.66,161
SYN-LA-00037,Karnataka,Semi-urban,Railway,2019-06-21,2020-11-25,2.49,Agricultural,4,0,0,0,0,122.39,1,3G award,523,100,91.7,84.5,81.4,1,Low,0.109,84
SYN-LA-00038,West Bengal,Rural,Industrial Corridor,2018-10-22,2020-10-10,4.0,Agricultural,11,1,0,0,0,280.19,1,3G award,719,100,95.5,93.1,83.6,1,Low,0.277,115
SYN-LA-00039,Madhya Pradesh,Urban,Railway,2020-12-07,2021-09-18,6.39,Commercial,13,1,0,0,0,352.52,0,3A issued,285,37.9,21.2,0,0,1,High,0.683,148
SYN-LA-00040,Punjab,Semi-urban,Railway,2020-11-16,2022-08-03,4.2,Forest,2,0,0,0,0,109.36,1,3G award,625,100,99.5,81.9,72.8,0,Low,0.21,0
SYN-LA-00041,Haryana,Semi-urban,Industrial Corridor,2021-02-02,2022-03-19,2.67,Residential,1,0,0,0,0,110.74,1,3D issued,410,68.2,33.7,28.2,5.4,0,Low,0.221,0
SYN-LA-00042,Rajasthan,Semi-urban,Industrial Corridor,2019-02-13,2019-05-01,1.31,Forest,6,1,0,0,1,52.4,1,Pre-notification,77,13.5,8.0,0,0,0,Medium,0.396,0
SYN-LA-00043,West Bengal,Rural,Urban Infrastructure,2018-04-30,2019-12-25,2.05,Agricultural,3,1,0,1,0,56.65,1,3G award,604,100,100,90.9,58.6,0,Medium,0.447,0
SYN-LA-00044,Rajasthan,Semi-urban,Urban Infrastructure,2023-10-26,2025-05-10,4.66,Agricultural,9,0,0,0,0,241.65,1,3G award,562,100,100,76.3,64.2,0,Low,0.221,0
SYN-LA-00045,West Bengal,Urban,State Highway,2018-07-30,2019-06-08,2.47,Agricultural,7,0,0,0,0,99.74,1,3A issued,313,45.4,45.4,26.2,7.3,0,Low,0.281,0
SYN-LA-00046,Odisha,Semi-urban,Urban Infrastructure,2023-07-20,2025-05-25,12.19,Forest,9,1,0,1,1,364.52,1,3G award,675,100,96.3,93.7,64.7,1,High,0.911,217
SYN-LA-00047,Madhya Pradesh,Urban,State Highway,2024-12-08,2025-01-29,6.13,Agricultural,6,1,0,0,0,343.68,1,Pre-notification,52,4.0,0,0,0,0,Medium,0.381,0
SYN-LA-00048,Maharashtra,Semi-urban,Railway,2022-07-14,2023-12-16,3.35,Agricultural,33,1,0,0,0,133.39,1,3D issued,520,86.5,58.6,29.5,16.7,0,Medium,0.577,0
SYN-LA-00049,Odisha,Rural,Industrial Corridor,2024-03-06,2025-03-07,1.94,Forest,9,0,1,1,0,85.5,1,Pre-notification,366,11.7,0,0,0,1,High,0.785,294
SYN-LA-00050,Odisha,Urban,Railway,2022-10-24,2024-09-15,1.75,Residential,7,0,1,0,0,98.17,1,3G award,692,100,99.3,90.4,88.0,0,Low,0.316,0
SYN-LA-00051,Uttar Pradesh,Urban,Railway,2018-03-21,2019-10-23,7.79,Agricultural,17,1,0,0,1,794.15,0,3D issued,581,61.1,47.8,1.7,0,1,High,0.898,291
SYN-LA-00052,Karnataka,Rural,Urban Infrastructure,2020-04-20,2020-12-22,2.17,Agricultural,10,0,0,0,0,37.32,0,Pre-notification,246,12.4,12.4,0,0,1,Medium,0.357,158
SYN-LA-00053,Odisha,Semi-urban,State Highway,2021-10-25,2023-04-27,1.45,Residential,1,0,0,0,1,104.36,1,3G award,549,100,77.2,67.0,49.8,0,Low,0.225,0
SYN-LA-00054,Maharashtra,Semi-urban,State Highway,2020-03-09,2020-12-07,9.63,Agricultural,3,1,0,0,0,172.95,1,3D issued,273,63.1,47.4,21.9,17.1,1,Medium,0.441,139
SYN-LA-00055,Uttar Pradesh,Semi-urban,State Highway,2023-08-27,2025-08-01,3.68,Agricultural,4,0,0,0,0,145.72,1,3G award,705,100,99.5,92.0,90.1,0,Low,0.157,0
SYN-LA-00056,Punjab,Urban,Urban Infrastructure,2023-02-15,2024-10-22,1.9,Residential,7,0,0,0,1,113.59,1,3G award,615,100,84.5,64.2,40.3,0,Medium,0.359,0
SYN-LA-00057,Maharashtra,Semi-urban,Industrial Corridor,2019-01-03,2020-05-30,4.98,Agricultural,7,0,0,0,0,512.41,1,3G award,513,100,96.0,88.0,74.8,0,Low,0.179,0
SYN-LA-00058,Uttar Pradesh,Rural,State Highway,2018-11-09,2020-07-03,5.21,Agricultural,2,0,0,0,0,539.68,1,3G award,602,100,100,91.4,90.2,0,Low,0.156,0
SYN-LA-00059,Uttar Pradesh,Urban,National Highway,2020-04-17,2021-08-11,1.91,Residential,27,1,0,0,1,44.95,1,3D issued,481,93.1,64.9,53.7,32.7,0,Medium,0.617,0
SYN-LA-00060,Chhattisgarh,Urban,Urban Infrastructure,2022-04-22,2023-03-28,0.69,Forest,18,0,0,0,0,31.42,1,3A issued,340,54.1,49.2,23.4,1.9,0,Medium,0.413,0
SYN-LA-00061,West Bengal,Semi-urban,State Highway,2024-01-21,2025-05-25,2.72,Agricultural,31,1,0,0,0,243.55,0,3D issued,490,72.9,55.4,33.8,26.2,0,High,0.656,0
SYN-LA-00062,Punjab,Semi-urban,Railway,2019-08-08,2021-03-05,2.09,Forest,7,0,0,0,0,48.18,1,3G award,575,100,92.7,68.3,43.2,0,Low,0.249,0
SYN-LA-00063,Haryana,Semi-urban,Industrial Corridor,2020-11-25,2021-01-16,3.74,Agricultural,12,0,0,0,0,165.28,1,3A issued,52,28.8,28.6,22.4,5.3,0,Low,0.221,0
SYN-LA-00064,Odisha,Rural,Railway,2018-06-30,2019-06-01,2.42,Agricultural,3,0,0,0,0,181.17,1,3A issued,336,33.4,26.6,8.3,0,0,Low,0.229,0
SYN-LA-00065,Odisha,Semi-urban,Industrial Corridor,2023-10-06,2025-08-25,0.9,Residential,10,0,0,0,1,61.1,1,3D issued,689,99.3,69.5,48.5,29.7,0,Medium,0.376,0
SYN-LA-00066,Maharashtra,Urban,Industrial Corridor,2018-02-08,2018-06-29,2.21,Agricultural,10,0,0,0,0,98.13,1,3A issued,141,26.0,23.4,3.1,0,1,Low,0.254,95
SYN-LA-00067,West Bengal,Rural,Industrial Corridor,2021-12-15,2022-11-24,3.55,Residential,10,0,0,0,0,60.29,1,3A issued,344,39.4,39.4,18.0,7.7,0,Low,0.292,0
SYN-LA-00068,Madhya Pradesh,Rural,National Highway,2023-05-09,2025-03-04,2.31,Commercial,2,0,1,0,0,91.16,1,3G award,665,78.8,75.5,67.3,63.3,0,Low,0.3,0
SYN-LA-00069,Karnataka,Semi-urban,Railway,2018-02-28,2019-02-09,4.82,Commercial,4,0,0,0,0,773.74,0,3D issued,346,79.0,49.4,1.6,0.3,0,Medium,0.43,0
SYN-LA-00070,West Bengal,Rural,State Highway,2021-01-07,2022-05-09,3.02,Agricultural,6,0,0,0,0,284.61,1,3D issued,487,78.6,69.1,41.4,29.7,0,Low,0.233,0
SYN-LA-00071,Karnataka,Urban,Industrial Corridor,2018-01-13,2019-01-08,3.48,Agricultural,19,0,0,0,0,239.15,1,3G award,360,100,77.3,54.1,42.8,0,Low,0.29,0
SYN-LA-00072,Odisha,Semi-urban,Industrial Corridor,2020-08-18,2021-03-04,1.3,Agricultural,6,0,1,0,1,33.27,1,3A issued,198,20.6,11.8,4.9,0,1,Medium,0.485,140
SYN-LA-00073,Uttar Pradesh,Rural,State Highway,2020-11-07,2022-05-04,3.77,Residential,14,0,1,0,0,329.81,1,3G award,543,90.2,82.4,65.3,62.1,1,Medium,0.421,222
SYN-LA-00074,Madhya Pradesh,Semi-urban,National Highway,2020-01-04,2020-10-21,3.41,Commercial,3,0,0,0,0,311.88,1,3D issued,291,69.7,62.4,30.2,22.0,1,Low,0.184,62
SYN-LA-00075,Rajasthan,Semi-urban,National Highway,2020-02-11,2020-05-27,9.23,Agricultural,14,1,0,0,0,365.93,1,Pre-notification,106,2.4,1.7,0,0,0,Medium,0.525,0
SYN-LA-00076,Haryana,Semi-urban,Industrial Corridor,2019-10-23,2020-09-26,5.41,Residential,38,1,0,0,0,447.4,0,3A issued,339,41.9,23.0,0,0,1,High,0.792,248
SYN-LA-00077,Haryana,Rural,State Highway,2024-01-22,2025-11-20,1.42,Agricultural,13,0,0,0,0,67.45,1,3G award,668,100,100,98.8,93.4,1,Low,0.134,15
SYN-LA-00078,West Bengal,Rural,National Highway,2023-04-01,2025-03-01,4.93,Agricultural,5,0,0,0,0,285.99,1,3G award,700,100,91.5,85.1,64.5,1,Low,0.245,149
SYN-LA-00079,Punjab,Urban,National Highway,2022-05-11,2022-08-20,1.16,Agricultural,11,0,0,0,0,43.23,1,3A issued,101,31.6,11.4,0,0,1,Low,0.212,147
SYN-LA-00080,Odisha,Rural,Industrial Corridor,2024-02-11,2025-01-22,2.78,Agricultural,9,0,0,0,0,199.84,1,3D issued,346,93.3,60.5,30.7,5.7,0,Low,0.266,0
SYN-LA-00081,Rajasthan,Rural,Railway,2023-06-30,2024-10-02,2.91,Agricultural,7,0,0,0,0,176.82,1,3G award,460,100,100,73.3,57.8,0,Low,0.163,0
SYN-LA-00082,Chhattisgarh,Rural,Industrial Corridor,2019-07-16,2020-11-30,4.3,Agricultural,7,1,0,0,1,263.51,1,3G award,503,100,91.4,68.8,61.1,0,Medium,0.374,0
SYN-LA-00083,Haryana,Rural,Urban Infrastructure,2022-04-26,2023-07-12,1.78,Residential,31,1,1,1,1,91.5,1,Pre-notification,442,0,0,0,0,1,High,0.934,314
SYN-LA-00084,Chhattisgarh,Semi-urban,Urban Infrastructure,2019-11-19,2020-09-06,1.04,Agricultural,27,1,0,0,1,84.43,1,3A issued,292,56.0,30.3,5.7,0,0,Medium,0.567,0
SYN-LA-00085,West Bengal,Rural,Urban Infrastructure,2020-03-09,2021-11-14,1.95,Agricultural,20,0,0,0,0,36.06,0,3G award,615,100,97.0,78.1,59.4,0,Medium,0.388,0
SYN-LA-00086,Madhya Pradesh,Urban,Urban Infrastructure,2023-01-01,2023-09-10,0.83,Agricultural,8,0,0,0,0,14.61,1,3A issued,252,40.1,26.2,0,0,0,Low,0.234,0
SYN-LA-00087,Chhattisgarh,Rural,State Highway,2018-07-17,2019-07-13,0.99,Agricultural,17,0,0,0,0,84.9,0,3A issued,361,51.6,42.0,17.2,0,1,Medium,0.437,256
SYN-LA-00088,Rajasthan,Semi-urban,Urban Infrastructure,2019-06-19,2020-05-16,4.68,Agricultural,6,0,0,0,0,310.84,1,3D issued,332,63.6,55.2,41.8,15.9,0,Low,0.263,0
SYN-LA-00089,Uttar Pradesh,Semi-urban,State Highway,2020-12-31,2022-08-21,7.15,Agricultural,6,1,0,0,0,352.81,1,3G award,598,100,100,95.6,86.1,0,Low,0.29,0
SYN-LA-00090,Haryana,Semi-urban,State Highway,2020-02-03,2021-04-10,2.01,Agricultural,24,1,0,0,0,179.76,0,3D issued,432,91.7,69.4,22.3,0,0,Medium,0.625,0
SYN-LA-00091,West Bengal,Urban,Urban Infrastructure,2019-02-27,2020-03-15,0.21,Commercial,2,0,0,0,0,34.79,1,3D issued,382,70.3,43.0,18.7,8.0,0,Low,0.208,0
SYN-LA-00092,Odisha,Rural,State Highway,2018-08-29,2020-04-13,2.51,Agricultural,11,0,0,0,0,143.63,0,3D issued,593,97.4,62.9,26.0,16.2,0,Medium,0.465,0
SYN-LA-00093,Karnataka,Semi-urban,State Highway,2023-10-17,2024-08-29,2.37,Agricultural,8,0,0,0,1,234.98,1,3A issued,317,35.3,10.1,2.3,0,1,Medium,0.358,208
SYN-LA-00094,West Bengal,Rural,State Highway,2023-04-11,2024-09-12,5.95,Agricultural,4,0,0,0,0,131.7,1,3G award,520,100,100,99.5,87.8,0,Low,0.166,0
SYN-LA-00095,Maharashtra,Semi-urban,National Highway,2020-05-10,2020-06-28,4.49,Residential,26,1,0,0,1,381.71,1,Pre-notification,49,8.2,0,0,0,1,Medium,0.577,235
SYN-LA-00096,West Bengal,Semi-urban,National Highway,2019-02-16,2019-07-16,3.39,Residential,6,0,0,0,0,336.69,1,3A issued,150,59.2,36.8,32.1,9.8,1,Low,0.203,79
SYN-LA-00097,Rajasthan,Urban,National Highway,2022-05-02,2023-12-24,7.32,Agricultural,7,1,0,0,0,195.75,1,3G award,601,100,100,84.4,62.0,0,Medium,0.426,0
SYN-LA-00098,Maharashtra,Urban,State Highway,2023-04-26,2024-05-30,1.36,Residential,11,0,0,0,0,49.97,1,3D issued,400,91.6,73.8,55.9,34.8,0,Low,0.221,0
SYN-LA-00099,Uttar Pradesh,Urban,State Highway,2021-07-04,2021-10-31,1.85,Commercial,41,1,0,0,0,241.98,1,Pre-notification,119,7.1,0,0,0,0,Medium,0.577,0
SYN-LA-00100,Haryana,Urban,Urban Infrastructure,2021-03-14,2022-06-15,3.32,Agricultural,7,0,0,0,0,181.67,1,3D issued,458,90.9,59.0,48.8,23.0,1,Low,0.29,183
SYN-LA-00101,Odisha,Semi-urban,Railway,2021-03-24,2021-07-17,2.73,Agricultural,24,1,0,0,0,69.16,1,Pre-notification,115,0,0,0,0,1,Medium,0.393,151
SYN-LA-00102,Rajasthan,Semi-urban,Urban Infrastructure,2023-10-10,2024-11-22,1.49,Agricultural,11,0,0,0,0,132.96,1,3A issued,409,44.3,34.2,19.8,0,0,Low,0.276,0
SYN-LA-00103,Odisha,Urban,State Highway,2022-09-06,2024-05-12,1.85,Agricultural,15,0,0,0,0,77.92,1,3G award,614,100,93.7,73.1,63.0,0,Low,0.25,0
SYN-LA-00104,Karnataka,Rural,Railway,2022-10-03,2023-10-22,1.98,Agricultural,54,1,0,0,0,204.73,1,3D issued,384,85.7,53.4,32.3,21.5,0,Medium,0.599,0
SYN-LA-00105,Madhya Pradesh,Urban,State Highway,2020-01-04,2021-10-20,6.94,Agricultural,17,1,0,0,1,629.76,0,3G award,655,100,100,66.2,66.0,1,High,0.764,214
SYN-LA-00106,Chhattisgarh,Urban,Railway,2023-10-07,2025-06-07,13.42,Residential,9,1,0,0,0,1097.04,1,3G award,609,100,77.2,70.8,55.1,0,High,0.68,0
SYN-LA-00107,Punjab,Rural,Urban Infrastructure,2023-12-25,2024-03-11,2.68,Agricultural,9,0,0,0,0,72.82,1,3A issued,77,24.2,8.9,0,0,0,Low,0.191,0
SYN-LA-00108,Haryana,Semi-urban,Industrial Corridor,2020-05-18,2021-03-26,6.07,Agricultural,23,1,0,0,0,433.75,1,3A issued,312,45.0,25.8,4.4,0,1,Medium,0.56,194
SYN-LA-00109,Madhya Pradesh,Urban,State Highway,2020-11-02,2022-06-09,2.56,Agricultural,4,0,0,0,0,207.43,1,3G award,584,100,100,92.1,82.6,0,Low,0.149,0
SYN-LA-00110,Rajasthan,Semi-urban,Urban Infrastructure,2018-12-07,2020-05-07,2.51,Agricultural,14,0,0,0,0,238.09,1,3D issued,517,81.1,54.5,53.8,31.9,1,Low,0.269,114
SYN-LA-00111,Karnataka,Semi-urban,National Highway,2018-04-01,2018-05-13,2.35,Residential,11,0,0,0,1,106.43,1,Pre-notification,42,0,0,0,0,0,Low,0.29,0
SYN-LA-00112,Chhattisgarh,Urban,National Highway,2020-02-25,2021-03-14,0.94,Residential,4,1,0,0,0,45.65,1,3D issued,383,99.0,73.9,64.1,45.9,0,Low,0.202,0
SYN-LA-00113,Punjab,Semi-urban,National Highway,2022-07-09,2023-10-05,1.78,Forest,5,0,0,1,0,148.81,1,3D issued,453,93.4,68.9,56.1,40.5,0,Medium,0.439,0
SYN-LA-00114,Punjab,Urban,Industrial Corridor,2022-07-26,2024-03-02,7.05,Agricultural,32,1,0,1,0,137.46,0,3G award,585,100,82.2,38.8,12.6,1,High,0.946,328
SYN-LA-00115,Punjab,Urban,Railway,2019-09-24,2021-03-23,3.54,Agricultural,41,1,0,0,0,255.74,1,3G award,546,100,100,99.4,80.2,1,Medium,0.487,220
SYN-LA-00116,Punjab,Rural,Industrial Corridor,2023-04-25,2023-12-08,1.1,Forest,7,0,0,0,0,82.85,1,3D issued,227,69.7,52.0,50.6,41.8,0,Low,0.149,0
SYN-LA-00117,West Bengal,Semi-urban,Industrial Corridor,2022-09-10,2024-01-26,2.86,Forest,10,0,1,0,0,48.19,1,3A issued,503,50.4,41.2,16.0,0.2,1,Medium,0.637,223
SYN-LA-00118,Punjab,Semi-urban,Urban Infrastructure,2024-04-26,2024-06-16,3.02,Agricultural,10,0,0,0,0,138.98,1,3A issued,51,22.5,11.4,0,0,1,Low,0.198,109
SYN-LA-00119,Punjab,Urban,Industrial Corridor,2019-08-27,2019-09-30,7.42,Agricultural,9,1,0,0,0,358.21,1,Pre-notification,34,0.4,0,0,0,0,Medium,0.432,0
SYN-LA-00120,West Bengal,Semi-urban,State Highway,2024-07-11,2025-12-04,2.1,Agricultural,6,0,0,0,0,46.64,1,3D issued,511,88.5,64.5,61.4,44.1,0,Low,0.184,0
SYN-LA-00121,Odisha,Urban,State Highway,2024-11-27,2026-09-20,1.15,Agricultural,4,0,1,0,0,103.35,1,3G award,662,100,95.6,85.6,62.0,0,Low,0.344,0
SYN-LA-00122,Odisha,Semi-urban,Railway,2023-01-11,2024-09-09,1.07,Commercial,15,0,1,0,0,95.39,1,3G award,607,100,100,87.1,72.1,0,Low,0.324,0
SYN-LA-00123,Chhattisgarh,Semi-urban,Industrial Corridor,2023-04-02,2024-02-18,3.62,Agricultural,23,1,0,0,0,309.68,1,3A issued,322,52.7,28.5,5.1,4.1,0,Medium,0.479,0
SYN-LA-00124,Odisha,Urban,Urban Infrastructure,2021-08-01,2021-10-20,1.55,Residential,21,1,0,0,0,127.77,1,Pre-notification,80,10.1,7.8,4.0,0,0,Medium,0.373,0
SYN-LA-00125,Karnataka,Rural,Industrial Corridor,2022-04-29,2023-12-08,2.48,Agricultural,14,0,0,0,0,109.54,1,3G award,588,100,96.2,82.6,65.1,0,Low,0.194,0
SYN-LA-00126,Rajasthan,Urban,Urban Infrastructure,2023-06-18,2025-05-11,0.54,Agricultural,6,0,0,0,0,31.5,0,3G award,693,100,100,78.3,70.5,0,Low,0.275,0
SYN-LA-00127,West Bengal,Urban,Industrial Corridor,2023-08-20,2024-09-13,3.75,Agricultural,2,0,0,0,0,131.52,1,3G award,390,84.3,80.1,56.1,42.3,1,Low,0.212,170
SYN-LA-00128,West Bengal,Rural,State Highway,2020-02-26,2020-04-25,2.59,Forest,16,0,0,0,0,60.15,1,Pre-notification,59,8.8,8.8,1.0,0,1,Low,0.315,216
SYN-LA-00129,Haryana,Semi-urban,National Highway,2023-03-04,2024-11-12,0.7,Forest,11,1,0,0,0,14.07,1,3G award,619,100,100,93.8,85.8,0,Low,0.211,0
SYN-LA-00130,Haryana,Semi-urban,Urban Infrastructure,2018-03-06,2019-09-03,15.71,Agricultural,13,1,0,0,0,1335.18,1,3G award,546,100,89.7,88.2,66.1,1,High,0.661,221
SYN-LA-00131,Odisha,Semi-urban,Railway,2022-01-27,2022-07-31,4.41,Residential,5,0,0,0,0,286.75,1,3D issued,185,67.4,51.9,38.3,20.4,0,Low,0.202,0
SYN-LA-00132,Rajasthan,Rural,State Highway,2023-08-15,2023-09-22,5.27,Agricultural,8,0,0,0,1,195.27,0,Pre-notification,38,0,0,0,0,1,Medium,0.521,233
SYN-LA-00133,Punjab,Urban,National Highway,2021-03-11,2021-11-08,1.75,Commercial,6,0,0,0,0,297.66,1,3A issued,242,30.5,28.5,16.6,12.5,0,Low,0.203,0
SYN-LA-00134,Odisha,Rural,Urban Infrastructure,2023-08-22,2024-05-16,5.65,Forest,7,0,0,1,0,293.59,1,Pre-notification,268,0,0,0,0,0,High,0.679,0
SYN-LA-00135,Odisha,Urban,Urban Infrastructure,2020-12-03,2022-01-09,2.21,Residential,6,0,0,0,0,159.63,1,3D issued,402,73.2,66.6,34.3,32.3,0,Low,0.223,0
SYN-LA-00136,Chhattisgarh,Semi-urban,State Highway,2018-07-27,2019-02-07,2.23,Residential,23,1,0,0,0,184.94,0,3A issued,195,38.7,29.1,0,0,1,Medium,0.552,177
